Company=GREAT BEAR PETROLEUM
Well=GB_ALCOR_#1
Field=WILDCAT
County=NORTH SLOPE
State=ALASKA
Country=NORTH SLOPE
Dip Summary From 4550.80 to 4575.80 Metres
Dip Confidence :
   E=Excellent(dip quality=1), G=Good(dip quality=2)
F=Fair(dip quality=3), P=Poor(dip quality=4 or 5)
Depth,Class,True Mag,True Azi,Quality,Caliper,Conf,DipType,Gamma Ray,Devi,Hazi
4621.9805,BED,    3.54,  224.60,2,8.71,G,Bed Boundary,79.79,0.46,139.86
4622.3818,BED,    2.33,  197.60,2,8.70,G,Bed Boundary,85.98,0.46,139.86
4623.3037,BED,    2.33,  345.20,1,8.69,E,Bed Boundary,89.21,0.46,139.86
4623.4229,BED,    2.33,  347.00,1,8.69,E,Bed Boundary,88.48,0.46,139.88
4623.7808,BED,    4.63,  345.20,1,8.75,E,Bed Boundary,87.80,0.46,139.85
4624.1499,BED,    3.52,  345.20,1,8.76,E,Bed Boundary,86.78,0.46,139.62
4624.5010,BED,    1.16,   10.40,1,8.76,E,Bed Boundary,88.96,0.46,139.52
4624.8330,BED,    1.16,   24.80,1,8.74,E,Bed Boundary,89.69,0.46,139.55
4625.2993,BED,    1.16,   26.60,1,8.74,E,Bed Boundary,82.41,0.46,139.50
4625.4404,BED,    1.16,   26.60,1,8.72,E,Bed Boundary,80.73,0.46,139.51
4626.1455,BED,    1.16,   28.40,1,8.69,E,Bed Boundary,77.68,0.46,139.50
4626.3296,BED,    1.16,   28.40,1,8.72,E,Bed Boundary,77.27,0.46,139.48
4626.7529,BED,    1.22,   26.60,1,8.67,E,Bed Boundary,73.79,0.46,139.44
4627.1865,BED,    1.16,   28.40,1,8.68,E,Bed Boundary,71.42,0.46,139.41
4627.6748,BED,    1.16,   39.20,1,8.70,E,Bed Boundary,72.62,0.46,139.40
4628.1846,BED,    1.16,   33.80,1,8.69,E,Bed Boundary,70.76,0.47,139.30
4629.0737,BED,    1.16,   26.60,1,8.77,E,Bed Boundary,69.06,0.47,139.19
4629.6055,BED,    1.20,   26.60,1,8.82,E,Bed Boundary,69.81,0.47,139.11
4630.3428,BED,    1.15,   26.60,1,8.79,E,Bed Boundary,75.19,0.47,139.12
4630.6250,BED,    2.35,   30.20,1,8.83,E,Bed Boundary,77.77,0.47,139.12
4630.8091,BED,    1.15,   30.20,1,8.84,E,Bed Boundary,78.97,0.47,139.09
4631.1021,BED,    1.15,   30.20,1,8.80,E,Bed Boundary,80.87,0.47,139.09
4631.3950,BED,    1.21,   30.20,1,8.78,E,Bed Boundary,81.60,0.47,138.81
4631.7964,BED,    1.21,   17.60,1,8.76,E,Bed Boundary,80.98,0.47,138.60
4631.9478,BED,    1.16,   10.40,1,8.76,E,Bed Boundary,77.89,0.47,138.59
4632.9673,BED,    1.16,   24.80,1,8.68,E,Bed Boundary,57.58,0.47,138.46
4633.9111,BED,    1.16,   26.60,1,8.71,E,Bed Boundary,57.70,0.47,138.70
4635.3213,BED,    2.38,   30.20,1,8.70,E,Bed Boundary,59.91,0.48,138.19
4635.5161,BED,    1.16,   30.20,1,8.70,E,Bed Boundary,61.23,0.48,138.19
4635.8418,BED,    1.17,   30.20,1,8.67,E,Bed Boundary,63.58,0.48,138.10
4636.7417,BED,    1.17,   21.20,1,8.63,E,Bed Boundary,66.99,0.48,137.97
4637.4468,BED,    1.16,   24.80,1,8.68,E,Bed Boundary,67.69,0.48,138.17
4637.7505,BED,    1.16,   30.20,1,8.70,E,Bed Boundary,70.25,0.48,138.14
4637.9565,BED,    1.16,   32.00,1,8.71,E,Bed Boundary,72.82,0.48,138.14
4638.2822,BED,    1.21,   33.80,1,8.71,E,Bed Boundary,77.32,0.48,138.21
