Lease,Time (Days),Choke Size,Gas Volume (MMscf),Oil Volume (stb),Water Volume  (stb),Gas Lift Inj Volume  (MMscf),Casing Pressure  (psi(a)),Tubing Pressure  (psi(a)),Active Pressure  (psi(a)),Line Pressure  (psi(a)),Pressure Source ,Calculated Sandface Pressure  (psi(a))
HAWK,11.583333333335759,24.0,0.00724999999957799,28.999999998312,133.9999999922,,100,1252,1252,142.988943,Tubing Pressure,5293.29122796506
HAWK,11.625,24.0,0.00729166666624224,28.999999998312,129.999999992433,,100,1250,1250,142.988943,Tubing Pressure,5251.60306644236
HAWK,11.666666666664241,24.0,0.00754166666754463,30.0000000034925,129.000000015018,,100,1246,1246,142.988943,Tubing Pressure,5243.53023949198
HAWK,11.708333333335759,24.0,0.00833333333284827,31.9999999981374,128.999999992491,,100,1240,1240,142.988943,Tubing Pressure,5249.42302179464
HAWK,11.75,24.0,0.00874999999949068,32.9999999980791,132.999999992258,,100,1234,1234,142.988943,Tubing Pressure,5290.27155735014
HAWK,11.791666666664241,24.0,0.00845833333431801,31.0000000036089,128.000000014901,,100,1231,1231,142.988943,Tubing Pressure,5224.32045913672
HAWK,11.833333333335759,24.0,0.00849999999950523,32.9999999980791,123.999999992782,,100,1229,1229,142.988943,Tubing Pressure,5194.27814429528
HAWK,11.875,24.0,0.00833333333284827,33.9999999980209,125.999999992666,,100,1227,1227,142.988943,Tubing Pressure,5218.26706104151
HAWK,11.916666666664241,24.0,0.00929166666774836,32.0000000037253,125.000000014552,,100,1224,1224,142.988943,Tubing Pressure,5193.86341735331
HAWK,11.958333333335759,24.0,0.00845833333284099,32.9999999980791,121.999999992899,,100,1221,1221,142.988943,Tubing Pressure,5166.35032504804
HAWK,12.0,24.0,0.00908333333280461,33.9999999980209,117.999999993131,,100,1218,1218,142.988943,Tubing Pressure,5129.47708997689
HAWK,12.041666666664241,24.0,0.00916666666773381,35.0000000040745,118.000000013737,,100,1216,1216,142.988943,Tubing Pressure,5133.00627782504
HAWK,12.083333333335759,24.0,0.0093749999994543,34.9999999979627,120.999999992957,,100,1215,1215,142.988943,Tubing Pressure,5161.85876973527
HAWK,12.125,24.0,0.0112916666660094,35.9999999979045,116.99999999319,,100,1214,1214,142.988943,Tubing Pressure,5128.28536516757
HAWK,12.166666666664241,24.0,0.010791666667923,38.0000000044238,119.000000013853,,100,1210,1210,142.988943,Tubing Pressure,5154.76897707102
HAWK,12.208333333335759,24.0,0.0103749999993961,35.9999999979045,115.999999993248,,100,1209,1209,142.988943,Tubing Pressure,5112.13325633952
HAWK,12.25,24.0,0.0104999999993888,36.9999999978463,113.999999993364,,100,1208,1208,142.988943,Tubing Pressure,5096.66091593016
HAWK,12.291666666664241,24.0,0.010875000001266,38.0000000044238,117.000000013621,,100,1206,1206,142.988943,Tubing Pressure,5130.53429184871
HAWK,12.333333333335759,24.0,0.010874999999367,38.9999999977299,117.999999993131,,100,1202,1202,142.988943,Tubing Pressure,5142.36883631472
HAWK,12.375,24.0,0.010874999999367,37.9999999977881,115.999999993248,,100,1199,1199,142.988943,Tubing Pressure,5113.35918716061
HAWK,12.416666666664241,24.0,0.0108333333345945,37.0000000043074,113.000000013155,,100,1198,1198,142.988943,Tubing Pressure,5076.97943635718
HAWK,12.458333333335759,24.0,0.0111249999993524,37.9999999977881,111.999999993481,,100,1199,1199,142.988943,Tubing Pressure,5073.5682299517
HAWK,12.5,24.0,0.0110833333326882,37.9999999977881,107.999999993714,,100,1197,1197,142.988943,Tubing Pressure,5031.89268727498
HAWK,12.541666666664241,24.0,0.0111666666679666,39.0000000045402,106.00000001234,,100,1196,1196,142.988943,Tubing Pressure,5016.18074699077
HAWK,12.583333333335759,24.0,0.0110833333326882,38.9999999977299,104.999999993888,,100,1194,1194,142.988943,Tubing Pressure,5004.23505016645
HAWK,12.625,24.0,0.0114999999993306,38.9999999977299,102.999999994005,,100,1188,1188,142.988943,Tubing Pressure,4978.97492172913
HAWK,12.666666666664241,24.0,0.0113333333346527,36.000000004191,104.000000012107,,100,1186,1186,142.988943,Tubing Pressure,4973.04630228126
HAWK,12.708333333335759,24.0,0.0112499999993452,38.9999999977299,108.999999993655,,100,1182,1182,142.988943,Tubing Pressure,5031.82122167813
HAWK,12.75,24.0,0.0115833333326591,35.9999999979045,104.999999993888,,100,1180,1180,142.988943,Tubing Pressure,4979.38249815438
